#Marche Dollase Result of Fitting
#Using advanced fitting mode: False
#-> row 0: x0: 285, y0:131, width:171, height:171, d_spacing:None, sigma:None, alpha:None, a1:None, a2:None
#
#image index, TOF(micros), Lambda(Angstroms), row 0
492, 5375.36, 0.03613794464932175, 0.22040878
493, 5385.6, 0.03616910602491028, 0.22008751
494, 5395.84, 0.036200267400498816, 0.21840732
495, 5406.08, 0.03623142877608735, 0.21933892
496, 5416.32, 0.036262590151675884, 0.21891839999999999
497, 5426.56, 0.03629375152726441, 0.21797031
498, 5436.8, 0.03632491290285295, 0.21902223
499, 5447.04, 0.03635607427844149, 0.21728955
500, 5457.28, 0.03638723565403003, 0.21811606
501, 5467.52, 0.03641839702961856, 0.21762404
502, 5477.76, 0.03644955840520709, 0.21705115
503, 5488.0, 0.03648071978079562, 0.21700227
504, 5498.24, 0.036511881156384166, 0.21635461
505, 5508.48, 0.036543042531972686, 0.2161386
506, 5518.72, 0.036574203907561234, 0.21635045
507, 5528.96, 0.03660536528314976, 0.21448146
508, 5539.2, 0.03663652665873829, 0.21532224
509, 5549.440000000001, 0.03666768803432683, 0.21473804
510, 5559.68, 0.036698849409915364, 0.21348670000000003
511, 5569.92, 0.036730010785503885, 0.21403812
512, 5580.16, 0.03676117216109243, 0.21446639999999997
513, 5590.4, 0.03679233353668096, 0.21347038
514, 5600.6399999999985, 0.03682349491226949, 0.212758
515, 5610.88, 0.036854656287858036, 0.21289977
516, 5621.12, 0.03688581766344656, 0.2126806
517, 5631.3600000000015, 0.036916979039035104, 0.21258871
518, 5641.6, 0.03694814041462362, 0.21104959
519, 5651.84, 0.036979301790212166, 0.21157816
520, 5662.08, 0.0370104631658007, 0.21059538
521, 5672.32, 0.037041624541389234, 0.21012369
522, 5682.56, 0.03707278591697777, 0.21022893
523, 5692.799999999998, 0.0371039472925663, 0.20865443
524, 5703.04, 0.03713510866815485, 0.20867653
525, 5713.280000000002, 0.03716627004374337, 0.20848815
526, 5723.52, 0.03719743141933191, 0.20812923
527, 5733.76, 0.03722859279492045, 0.20800509
528, 5744.0, 0.037259754170508974, 0.20752946
529, 5754.24, 0.037290915546097515, 0.20664972
530, 5764.48, 0.037322076921686036, 0.20693244
531, 5774.719999999998, 0.037353238297274584, 0.20555754
532, 5784.96, 0.03738439967286311, 0.20557378
533, 5795.200000000002, 0.03741556104845165, 0.20478219
534, 5805.440000000001, 0.03744672242404018, 0.20486327
535, 5815.68, 0.037477883799628714, 0.2052215
536, 5825.92, 0.037509045175217255, 0.20546479999999998
537, 5836.16, 0.03754020655080578, 0.20528595
538, 5846.4, 0.03757136792639432, 0.2088004
539, 5856.6399999999985, 0.03760252930198285, 0.21159357
540, 5866.88, 0.03763369067757138, 0.21430147
541, 5877.12, 0.03766485205315991, 0.21754958
542, 5887.3600000000015, 0.03769601342874845, 0.21874955
543, 5897.6, 0.03772717480433699, 0.21972889
544, 5907.84, 0.037758336179925515, 0.21996555
545, 5918.08, 0.037789497555514064, 0.22064129
546, 5928.32, 0.03782065893110259, 0.22138536
547, 5938.56, 0.03785182030669112, 0.22179778
548, 5948.8, 0.03788298168227966, 0.22166906
549, 5959.04, 0.037914143057868194, 0.22092685
550, 5969.280000000002, 0.03794530443345672, 0.22098291
551, 5979.52, 0.03797646580904526, 0.22130243
552, 5989.76, 0.03800762718463379, 0.22099745
553, 6000.0, 0.03803878856022233, 0.22223751
554, 6010.24, 0.03806994993581087, 0.22172897
555, 6020.48, 0.0381011113113994, 0.22145666
556, 6030.72, 0.038132272686987934, 0.22165468
557, 6040.96, 0.03816343406257647, 0.22122267
558, 6051.2, 0.038194595438165, 0.22182237
559, 6061.440000000001, 0.03822575681375353, 0.22262329
560, 6071.68, 0.03825691818934207, 0.22226487
