#index, bin x0, bin y0, bin x1, bin y1, lambda hkl val, lambda hkl err, d value, d err, strain, strain error
27, 274, 274, 274, 284, 2.6110138740422864, 0.001057269090544913, 1.3055069370211432, 0.0005286345452724565, 0.0352949540215252, 1.123471197635656
28, 274, 284, 284, 294, 2.6076427201244026, 0.00092256230980631, 1.3038213600622013, 0.000461281154903155, 0.03395825540222156, 1.1234038442452867
29, 274, 294, 294, 304, 2.611360752297059, 0.001596717144589998, 1.3056803761485296, 0.000798358572294999, 0.03543249496314807, 1.1237409216626786
30, 284, 204, 204, 214, 2.615733517417064, 0.00877511172954355, 1.307866758708532, 0.004387555864771775, 0.03716634314713091, 1.1273301189551552
31, 284, 214, 214, 224, 2.6071670850754045, 0.001173254707279819, 1.3035835425377023, 0.0005866273536399095, 0.03376966101324533, 1.1235291904440234
32, 284, 224, 224, 234, 2.6074459340223552, 0.0013931510040612457, 1.3037229670111776, 0.0006965755020306229, 0.033880227606009304, 1.1236391385924143
33, 284, 234, 234, 244, 2.6105093009276383, 0.0009484494534575562, 1.3052546504638192, 0.0004742247267287781, 0.03509488537971393, 1.1234167878171124
34, 284, 244, 244, 254, 2.619418006271519, 0.0018338049186162363, 1.3097090031357594, 0.0009169024593081182, 0.03862728242328275, 1.1238594655496916
35, 284, 254, 254, 264, 2.6098694697703873, 0.0010546893753045619, 1.3049347348851936, 0.0005273446876522809, 0.03484118547596648, 1.123469907778036
36, 284, 264, 264, 274, 2.6115259161312316, 0.0006570888460941366, 1.3057629580656158, 0.0003285444230470683, 0.0354979841916066, 1.1232711075134305
37, 284, 274, 274, 284, 2.60448051688681, 0.001228060886949616, 1.302240258443405, 0.000614030443474808, 0.032704407964635265, 1.1235565935338583
38, 284, 284, 284, 294, 2.614284121639192, 0.006897922107360328, 1.307142060819596, 0.003448961053680164, 0.03659164220427927, 1.1263915241440636
39, 284, 294, 294, 304, 2.609262723818886, 0.0009087451595459118, 1.304631361909443, 0.0004543725797729559, 0.03460060421050203, 1.1233969356701565
40, 294, 204, 204, 214, 2.620382779732878, 0.00080228475500467, 1.310191389866439, 0.000401142377502335, 0.03900982542937281, 1.1233437054678859
41, 294, 214, 214, 224, 2.6014525887472884, 0.0011903201082502396, 1.3007262943736442, 0.0005951600541251198, 0.03150380204095502, 1.1235377231445087
42, 294, 224, 224, 234, 2.6057958601750197, 0.0010848905026317952, 1.3028979300875099, 0.0005424452513158976, 0.03322595566019824, 1.1234850083416994
43, 294, 234, 234, 244, 2.6118037756243506, 0.0008521114044452042, 1.3059018878121753, 0.0004260557022226021, 0.0356081584553334, 1.1233686187926062
44, 294, 244, 244, 254, 2.6122111868036515, 0.0009938587289569129, 1.3061055934018257, 0.0004969293644784564, 0.03576970134958434, 1.123439492454862
45, 294, 254, 254, 264, 2.6037686148295918, 0.0009814221269262523, 1.3018843074147959, 0.0004907110634631262, 0.03242213117747501, 1.1234332741538466
46, 294, 264, 264, 274, 2.608036133796696, 0.0007532212850723795, 1.304018066898348, 0.00037661064253618977, 0.034114248135089766, 1.1233191737329198
47, 294, 274, 274, 284, 2.6080140994520105, 0.0008319122383605133, 1.3040070497260052, 0.00041595611918025663, 0.034105511281526835, 1.1233585192095639
48, 294, 284, 284, 294, 2.611186584407988, 0.002898302040922934, 1.305593292203994, 0.001449151020461467, 0.035363435530526566, 1.124391714110845
49, 294, 294, 294, 304, 2.612215111081279, 0.00430991540905309, 1.3061075555406394, 0.002154957704526545, 0.03577125736767605, 1.12509752079491
50, 304, 204, 204, 214, 2.613975180624035, 0.0087067869773828, 1.3069875903120176, 0.0043533934886914, 0.03646914378431222, 1.127295956579075
51, 304, 214, 214, 224, 2.6006952767875355, 0.0013343076862734127, 1.3003476383937678, 0.0006671538431367064, 0.031203519741290937, 1.1236097169335202
52, 304, 224, 224, 234, 2.609725552600919, 0.002102196617126845, 1.3048627763004594, 0.0010510983085634225, 0.03478412077752541, 1.123993661398947
