X	Z	Y	O	d_P-Ni311_1
10.717	-17.332	5.138	-48.663	1.085629
12.756	-17.332	4.914	-48.663	1.085216
14.825	-17.332	4.65	-54.322	1.085228
-16.971	-19.321	2.271	-2.564	1.084896
-14.706	-19.321	3.355	-8.634	1.084808
-12.482	-19.321	4.39	-27.807	1.084569
-10.3	-19.321	5.07	-33.505	1.08492
-8.167	-19.321	5.511	-36.334	1.085142
-6.054	-19.321	5.656	-40.447	1.085326
-3.984	-19.321	5.751	-43.682	1.085452
-1.929	-19.321	5.779	-41.812	1.085511
0.104	-19.321	5.747	-41.812	1.085737
2.136	-19.321	5.784	-43.452	1.085756
4.161	-19.321	5.701	-43.452	1.085775
6.186	-19.332	5.64	-47.01	1.085763
8.222	-19.332	5.626	-45.11	1.08577
10.272	-19.332	5.551	-45.11	1.085514
12.34	-19.332	5.512	-45.11	1.085289
-17.754	-21.323	1.34	0.6	1.08462
-15.535	-21.323	2.534	-5.648	1.084601
-13.21	-21.323	3.793	-24.752	1.084821
-10.97	-21.323	4.658	-30.443	1.085182
-8.791	-21.323	5.136	-36.334	1.085513
-6.659	-21.323	5.421	-42.359	1.085755
-4.562	-21.323	5.609	-45.095	1.086013
-2.503	-21.323	5.755	-45.095	1.085922
-0.46	-21.323	5.814	-39.58	1.086043
1.568	-21.323	5.886	-39.58	1.086067
3.605	-21.323	5.97	-41.23	1.086089
5.649	-21.323	6.059	-41.23	1.085872
7.715	-21.323	6.111	-45.104	1.085891
9.817	-21.333	6.188	-42.886	1.085698
11.967	-21.333	6.14	-49.288	1.085674
-18.427	-23.327	0.443	3.556	1.084674
-16.103	-23.327	1.915	-5.646	1.085016
-13.823	-23.327	3.246	-24.759	1.085649
-11.58	-23.327	4.176	-27.096	1.08625
-9.385	-23.327	4.821	-33.506	1.086456
-7.222	-23.327	5.162	-33.506	1.086679
-5.087	-23.327	5.454	-35.398	1.086844
-2.976	-23.327	5.749	-44.86	1.086982
-0.885	-23.327	6.005	-41.939	1.086971
1.195	-23.327	6.175	-43.613	1.087016
3.278	-23.327	6.32	-42.172	1.08677
5.359	-23.327	6.534	-38.714	1.086594
7.444	-23.327	6.751	-43.853	1.086415
9.548	-23.327	6.83	-43.853	1.085999
11.672	-23.327	6.864	-43.853	1.085844
